lat,long,name,stand_count,overall_canopy_size,canopy_size (cm2/seedlings)
36.4121,-89.6963,DJI_0155.JPG_-1_10_36.4121_-89.6963.tiff,11.210255,225.456,20.111586
36.4121,-89.6963,DJI_0155.JPG_-1_11_36.4121_-89.6963.tiff,12.970585,348.1797,26.843792
36.4121,-89.6963,DJI_0155.JPG_0_3_36.4121_-89.6963.tiff,13.0336485,280.53702,21.52406
36.4121,-89.6963,DJI_0155.JPG_0_4_36.4121_-89.6963.tiff,13.201856,339.70767,25.731812
36.4121,-89.6963,DJI_0155.JPG_0_5_36.4121_-89.6963.tiff,13.80627,378.3453,27.403877
36.4121,-89.6963,DJI_0155.JPG_0_6_36.4121_-89.6963.tiff,11.824843,270.9566,22.91418
36.4121,-89.6963,DJI_0155.JPG_0_7_36.4121_-89.6963.tiff,12.115241,276.57532,22.828709
36.4121,-89.6963,DJI_0155.JPG_0_8_36.4121_-89.6963.tiff,11.749696,300.5337,25.577997
36.4121,-89.6963,DJI_0155.JPG_0_9_36.4121_-89.6963.tiff,14.093158,384.41913,27.277004
36.4121,-89.6963,DJI_0155.JPG_0_10_36.4121_-89.6963.tiff,13.295312,389.64023,29.306587
36.4121,-89.6963,DJI_0155.JPG_0_11_36.4121_-89.6963.tiff,12.731862,445.757,35.01114
